station,location,state,do,ph,co,bod,na,tc,year,wqi
2271,"RIVER SAL PAZORKHONI,CUNCOLIM(NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,6.3,6.4,79.0,1.6,1.4,12842.0,2014,55.019999999999996
1544,"RIVER VALVANT AT SANKLI NAN BICHOLIM, GOA",GOA,7.2,6.3,100.0,1.5,0.1,13575.0,2014,55.019999999999996
1573,"CHITRAPUZHA AT IRUMPANAM, KERALA",KERALA,3.0,6.6,965.0,1.7,1.2,530.0,2014,55.28000000000001
2337,R KADAMBAYAR AT BRAHMAPURAM,KERALA,2.1,6.8,101.0,1.6,0.8,694.0,2014,51.36
2338,R KADAMBAYAR AT MANCKAKADAVU,KERALA,2.5,6.9,83.0,1.9,0.3,656.0,2014,51.36
2294,R KALLAI AT KALLAI BRIDGE,KERALA,3.7,7.7,32005.0,1.2,0.9,60392.0,2014,53.94
2444,CORINGA RIVER,PONDICHERRY,5.9,7.9,21600.0,6.940048767967146,0.1,533687.1656804733,2014,55.82
1885,RIVER GHAGGAR AT D/S OF SURAJPUR,HARYANA,6.392636734693877,112.09067423096319,1786.466393692777,6.940048767967146,1.6230787089467724,533687.1656804733,2014,44.94
1024,"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",PUNJAB,4.8,7.6,1090.0,22.0,3.6,52500.0,2014,50.199999999999996
1473,"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI (AFTER CONFL.), PUNJAB",PUNJAB,5.1,7.4,1375.0,23.7,5.9,50333.0,2014,55.82
1698,"D/S CHHATBIR, PUNJAB",PUNJAB,5.5,7.4,745.0,10.0,6.1,29333.0,2014,55.82
1699,"U/S DHAKANSU NALLAH, PUNJAB",PUNJAB,5.0,7.6,975.0,16.3,6.1,21667.0,2014,50.199999999999996
1700,"D/S DHAKANSU NALLAH, PUNJAB",PUNJAB,4.9,7.7,1385.0,27.5,7.7,72000.0,2014,50.199999999999996
1701,"D/S JHARMAL NADI, PUNJAB",PUNJAB,5.0,7.3,1067.0,19.3,6.2,39533.0,2014,50.199999999999996
1703,"GHAGGER AT MOONAK, PUNJAB",PUNJAB,4.9,7.7,1418.0,21.0,4.2,49500.0,2014,50.199999999999996
1704,"D/S SARDULGARH, PUNJAB",PUNJAB,4.1,7.5,1015.0,23.0,6.1,57500.0,2014,50.199999999999996
1705,"U/S SARDULGARH, PUNJAB",PUNJAB,4.8,7.4,854.0,17.0,4.7,38000.0,2014,50.199999999999996
1884,KALA AMB D/S MARKANDA RIVER,HARYANA,6.392636734693877,7.2,1786.466393692777,88.0,0.0,533687.1656804733,2014,56.76
3360,"UMKHRAH RIVER ATUMKALIAR, SHILLONG",MEGHALAYA,3.9,7.1,233.0,17.0,10.5,22223.0,2014,44.94
3365,"UMSHYRPI RIVER AT UMSHYRPI BRIDGE, EAST KHASI HILLS",MEGHALAYA,3.2,7.1,258.0,23.5,10.3,54083.0,2014,44.94
