station,location,state,do,ph,co,bod,na,tc,year,wqi
1393,"DAMANGANGA AT D/S OF MADHUBAN, DAMAN",DAMAN & DIU,6.7,7.5,203.0,6.940048767967146,0.1,27.0,2014,84.46000000000001
1399,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, GOA",GOA,5.7,7.2,189.0,2.0,0.2,8391.0,2014,76.96000000000001
1475,ZUARI AT PANCHAWADI,GOA,6.3,6.9,179.0,1.7,0.1,5330.0,2014,79.28
3181,RIVER ZUARI AT BORIM BRIDGE,GOA,5.8,6.9,64.0,3.8,0.5,8443.0,2014,69.34
3182,RIVER ZUARI AT MARCAIM JETTY,GOA,5.8,7.3,83.0,1.9,0.4,5500.0,2014,77.14000000000001
1400,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,5.5,7.4,81.0,1.5,0.1,4049.0,2014,77.14000000000001
1476,"MANDOVI AT TONCA, MARCELA, GOA",GOA,6.1,6.7,308.0,1.4,0.3,5672.0,2014,75.44
3185,RIVER MANDOVI AT AMONA BRIDGE,GOA,6.4,6.7,414.0,1.0,0.2,9423.0,2014,75.44
3186,RIVER MANDOVI AT IFFI JETTY,GOA,6.4,7.6,305.0,2.2,0.1,4990.0,2014,82.03999999999999
3187,RIVER MANDOVI NEAR HOTEL MARRIOT,GOA,6.3,7.6,77.0,2.3,0.1,4301.0,2014,82.75999999999999
1543,"RIVER KALNA AT CHANDELNAN PERNEM, GOA",GOA,7.1,7.1,176.0,1.2,0.1,7817.0,2014,82.58000000000001
1548,"RIVER ASSONORA AT ASSONORA, GOA",GOA,6.7,6.4,93.0,1.4,0.1,3433.0,2014,66.25999999999999
2276,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",GOA,7.4,6.8,121.0,1.7,0.4,18125.0,2014,68.22
2275,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,6.9,7.0,620.0,1.1,0.1,6300.0,2014,82.03999999999999
3189,RIVER CHAPORA AT SIOLIM,GOA,6.0,7.5,72.0,1.6,0.2,9517.0,2014,82.94
1546,"RIVER KHANDEPAR AT OPA NAN PONDA, GOA",GOA,7.3,7.0,247.0,1.5,0.2,2453.0,2014,82.4
2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,7.3,7.0,188.0,1.0,0.1,3048.0,2014,82.58000000000001
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,7.0,6.9,224.0,1.2,0.3,6742.0,2014,79.28
1545,"RIVER MADAI AT DABOS NAN  VALPOI, GOA",GOA,7.3,6.7,144.0,1.5,0.1,3052.0,2014,76.16
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,5.3,6.8,319.0,1.8,0.3,10250.0,2014,61.88000000000001
2273,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,5.4,7.6,39.0,1.4,0.1,6367.0,2014,77.32000000000002
3184,"RIVER SAL AT ORLIM BRIDGE, ORLIM",GOA,5.2,7.1,192.0,2.6,0.3,8925.0,2014,76.96000000000001
3190,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,5.6,7.5,282.0,1.8,0.1,5082.0,2014,76.78
3191,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,5.5,7.4,275.0,1.5,0.1,8625.0,2014,76.78
1547,"RIVER TALPONA AT CANACONA, GOA",GOA,7.3,6.7,55.0,1.4,0.1,4003.0,2014,76.34
3188,RIVER TIRACOL AT TIRACOL,GOA,6.5,7.5,415.0,2.0,0.1,1538.0,2014,82.03999999999999
2651,"AMBA RIVER AT D/S OF WAKEN BRIDGENANU/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",MAHARASHTRA,6.6,7.8,95.0,4.9,0.2,36.0,2014,89.32000000000001
1461,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA",MAHARASHTRA,6.9,7.9,99.0,5.0,0.4,34.0,2014,89.32000000000001
